,datetime_utc,yes_best_ask_price,yes_best_ask_size,yes_best_bid_price,yes_best_bid_size,no_best_ask_price,no_best_ask_size,no_best_bid_price,no_best_bid_size,arb_gap,yes_best_mid_price,no_best_mid_price,yes_best_mid_std,no_best_mid_std,cheap_yes,cheap_no,yes_imbalance,no_imbalance,pair_best_ask_price,timestamp,price_Down,price_Up,size_Down,size_Up
387,2026-01-18 19:52:38.359,0.15,270.57,0.14,146.14,0.86,146.14,0.85,270.57,0.010000000000000009,0.14500000000000002,0.855,0.045662418871267575,0.045662418871265875,0,0,-0.2986009455016679,0.2986009455016679,1.01,,,,,
388,2026-01-18 19:52:39.573,0.15,256.57,0.14,142.08,0.86,142.08,0.85,256.57,0.010000000000000009,0.14500000000000002,0.855,0.04550904796112128,0.04550904796111953,0,0,-0.28719428069735353,0.28719428069735353,1.01,,,,,
389,2026-01-18 19:52:40.702,0.15,238.23,0.14,102.61,0.86,102.61,0.85,238.23,0.010000000000000009,0.14500000000000002,0.855,0.04527973318481558,0.04527973318481378,0,0,-0.39789930759300557,0.39789930759300557,1.01,,,,,
390,2026-01-18 19:52:41.732,0.15,233.56,0.14,96.92,0.86,96.92,0.85,233.56,0.010000000000000009,0.14500000000000002,0.855,0.04497331286503643,0.04497331286503457,0,0,-0.41345921084483167,0.41345921084483167,1.01,,,,,
391,2026-01-18 19:52:43.014,0.15,197.22,0.14,96.04,0.86,96.04,0.85,197.22,0.010000000000000009,0.14500000000000002,0.855,0.044588197369177456,0.04458819736917553,0,0,-0.3450180726999932,0.3450180726999932,1.01,,,,,
392,2026-01-18 19:52:44.113,0.15,192.22,0.14,83.13,0.86,83.13,0.85,192.22,0.010000000000000009,0.14500000000000002,0.855,0.04435953518221169,0.04435953518220972,0,0,-0.39618667150898856,0.39618667150898856,1.01,,,,,
393,2026-01-18 19:52:45.154,0.15,207.5,0.14,13.13,0.86,13.13,0.85,207.5,0.010000000000000009,0.14500000000000002,0.855,0.04406562902100577,0.04406562902100374,0,0,-0.880977201649821,0.880977201649821,1.01,,,,,
394,2026-01-18 19:52:46.318,0.13,158.0,0.12,194.62,0.88,194.62,0.87,158.0,0.010000000000000009,0.125,0.875,0.04408870103917773,0.04408870103917566,0,0,0.10385117123248824,-0.10385117123248824,1.01,,,,,
395,2026-01-18 19:52:47.407,0.13,1032.26,0.12,127.19,0.88,127.19,0.87,1032.26,0.010000000000000009,0.125,0.875,0.04401944870630183,0.04401944870629971,0,0,-0.7806028720514036,0.7806028720514036,1.01,,,,,
396,2026-01-18 19:52:48.481,0.12,243.0,0.11,270.54,0.89,270.54,0.88,243.0,0.010000000000000009,0.11499999999999999,0.885,0.04409030281433602,0.04409030281433384,0,0,0.05362776025236597,-0.05362776025236597,1.01,,,,,
