,imbalance,relative_imbalance,position_imbalance,trade_size,imbalance_persistence,time_remaining,pnl,roi,pair_cost,matched_pairs,total_trades,final_position_imbalance,marginal_cost_improvement
77,-0.6000000000000001,0.2,0.4,75,6,60,13.408001160847869,1.3408001160847869,0.984885798207445,622.9609992648606,60.1,0.3815436678036513,0.001
82,-0.6000000000000001,0.4,0.2,25,2,60,-1.5585459488894116,-0.15585459488894107,0.9969323395886069,868.6344033698809,140.9,0.14432461397936888,0.002
87,-0.6000000000000001,0.4,0.30000000000000004,50,6,60,4.517437702327072,0.4517437702327075,0.9929811588254411,569.4824742090381,52.6,0.31610579238364395,0.001
89,-0.6000000000000001,0.4,0.4,25,2,60,1.5150137810124762,0.1515013781012476,0.9925898194634126,839.8461065186791,160.3,0.1802911010599959,0.001
92,-0.6000000000000001,0.4,0.4,50,2,30,-4.443207740948855,-0.4443207740948855,0.99907206716357,785.6599176759024,146.7,0.23720362259728273,0.002
93,-0.6000000000000001,0.4,0.4,50,2,60,-4.443207740948855,-0.4443207740948855,0.99907206716357,785.6599176759024,145.1,0.23720362259728273,0.002
94,-0.6000000000000001,0.4,0.4,50,6,30,6.5331126911531445,0.6533112691153149,0.9965479172825773,572.6539699969896,56.2,0.3332452514039232,0.001
95,-0.6000000000000001,0.4,0.4,75,2,60,1.2873047168906964,0.12873047168906976,0.993104726599942,788.9452657056122,141.8,0.2262648631493395,0.001
102,-0.6000000000000001,0.6000000000000001,0.2,50,6,60,17.25271150251948,1.7252711502519482,0.9824554892855876,546.468406395336,47.6,0.2741316244955768,0.002
103,-0.6000000000000001,0.6000000000000001,0.2,75,6,30,19.6625334579545,1.9662533457954499,0.9798554598484781,557.8379721706864,46.4,0.2737194075026654,0.0015
104,-0.6000000000000001,0.6000000000000001,0.2,75,6,60,19.667033097310572,1.9667033097310571,0.9798512272275218,557.8379721706864,46.3,0.2737107950989696,0.002
106,-0.6000000000000001,0.6000000000000001,0.30000000000000004,25,6,60,2.883427564465626,0.2883427564465623,0.9887739986056212,436.5334299192197,48.5,0.31993458725176716,0.001
108,-0.6000000000000001,0.6000000000000001,0.4,25,2,30,-3.4164432351165717,-0.34164432351165724,0.9991226166530612,866.3115379399576,157.8,0.14295524982399585,0.001
109,-0.6000000000000001,0.6000000000000001,0.4,25,2,60,-3.4164432351165717,-0.34164432351165724,0.9991226166530612,866.3115379399576,156.4,0.14295524982399585,0.001
110,-0.6000000000000001,0.6000000000000001,0.4,25,6,60,7.07839710063962,0.7078397100639621,0.9861132017053735,451.90483369827524,52.3,0.3384034035906034,0.002
112,-0.6000000000000001,0.6000000000000001,0.4,75,2,60,0.2755225108783179,0.02755225108783188,0.9957607811782179,846.4916328226218,137.9,0.15928250952959727,0.001
120,-0.6000000000000001,0.8,0.2,25,6,30,17.694592447177616,1.7694592447177613,0.9760843172873279,326.6576442843217,39.8,0.3446694088852721,0.002
121,-0.6000000000000001,0.8,0.2,50,6,60,19.44383023410999,1.9443830234109984,0.9881510463073049,369.54121899501706,37.9,0.3663000693415883,0.0015
124,-0.6000000000000001,0.8,0.2,75,6,30,19.403689870438097,1.9403689870438097,0.9894369937660947,384.29347217068647,38.8,0.35804028226056006,0.001
127,-0.6000000000000001,0.8,0.30000000000000004,50,6,60,21.626213458053304,2.1626213458053303,0.9684977605182225,380.379718995017,41.7,0.41390665579016517,0.002
129,-0.6000000000000001,0.8,0.30000000000000004,75,6,30,19.49745166131904,1.9497451661319043,0.9729575157296606,395.8819721706865,43.5,0.41227911339947854,0.002
130,-0.6000000000000001,0.8,0.30000000000000004,75,6,60,20.539096542080266,2.053909654208027,0.9717236705668719,395.1319721706865,42.0,0.409825787296635,0.002
132,-0.6000000000000001,0.8,0.4,50,2,30,-2.3264664323686817,-0.2326466432368682,0.9993745346193907,870.005547458851,136.4,0.13889943651843148,0.001
133,-0.6000000000000001,0.8,0.4,50,6,30,19.54033853885221,1.954033853885221,0.9721684168879658,381.129718995017,43.9,0.4289434942563153,0.001
134,-0.6000000000000001,0.8,0.4,75,2,30,4.190983392977648,0.41909833929776485,0.9905953210339078,851.5157740994516,139.2,0.1635026315677977,0.001
144,-0.40000000000000013,0.2,0.2,75,2,30,-3.52376775683249,-0.35237677568324893,0.9987530588166076,818.6550153935256,138.2,0.18800041477440793,0.002
145,-0.40000000000000013,0.2,0.2,75,2,60,-3.52376775683249,-0.35237677568324893,0.9987530588166076,818.6550153935256,136.5,0.18800041477440793,0.002
148,-0.40000000000000013,0.2,0.30000000000000004,50,2,30,-1.6253787653675886,-0.16253787653675875,0.9982262717789668,836.2895891245832,154.7,0.17185604824960768,0.002
149,-0.40000000000000013,0.2,0.30000000000000004,50,2,60,-1.6253787653675886,-0.16253787653675875,0.9982262717789668,836.2895891245832,153.0,0.17185604824960768,0.001
150,-0.40000000000000013,0.2,0.30000000000000004,50,6,60,-0.9910815831562558,-0.09910815831562551,0.9938370593223255,612.5726784231266,56.6,0.3401579811219756,0.0015
151,-0.40000000000000013,0.2,0.30000000000000004,75,2,30,1.0034751504528572,0.10034751504528572,0.9942594975338974,817.2990196868443,147.5,0.19684183594349933,0.0015
152,-0.40000000000000013,0.2,0.30000000000000004,75,2,60,1.0034751504528572,0.10034751504528572,0.9942594975338974,817.2990196868443,145.9,0.19684183594349933,0.001
153,-0.40000000000000013,0.2,0.4,25,2,60,-1.1610913293535532,-0.11610913293535532,0.9954344690664666,823.363643391321,166.0,0.20181785635436053,0.001
154,-0.40000000000000013,0.2,0.4,50,2,60,-0.378593662688786,-0.037859366268878515,0.9935648162007789,788.7516215473343,146.3,0.24251415428023618,0.001
155,-0.40000000000000013,0.2,0.4,50,6,60,9.49707688208017,0.9497076882080171,0.9870541186656864,626.0281729386531,61.9,0.36377256010598596,0.001
