,imbalance,relative_imbalance,position_imbalance,trade_size,imbalance_persistence,time_remaining,pnl,roi,pair_cost,matched_pairs,total_trades,final_position_imbalance,marginal_cost_improvement
239,-0.20000000000000018,0.6000000000000001,0.1,25,2,60,-24.373311046260813,-2.4373311046260815,1.021310706400215,898.6793901709227,139.3,0.09273030802259155,0.002
240,-0.20000000000000018,0.6000000000000001,0.1,50,6,30,-32.0228818353389,-3.20228818353389,1.0489887992084754,539.9372862037119,48.0,0.21901197624728203,0.001
241,-0.20000000000000018,0.6000000000000001,0.1,75,6,30,-33.756362500769114,-3.3756362500769113,1.051171150964438,584.6567485307866,47.3,0.20775926445839837,0.002
242,-0.20000000000000018,0.6000000000000001,0.2,25,6,30,-10.946507817946905,-1.0946507817946904,1.0174071303004018,511.43392975032623,53.6,0.27006058487475804,0.002
244,-0.20000000000000018,0.6000000000000001,0.30000000000000004,25,6,30,-9.432757319791028,-0.9432757319791027,1.016367275384693,519.9027635279464,56.2,0.258717615593455,0.002
245,-0.20000000000000018,0.6000000000000001,0.30000000000000004,50,2,60,-9.45743240733949,-0.9457432407339491,1.007731411667827,813.0343769353428,143.1,0.181300764632678,0.001
246,-0.20000000000000018,0.6000000000000001,0.30000000000000004,50,6,30,-0.18592795382464827,-0.018592795382464854,1.0033925761001858,586.9838054319255,54.1,0.28536999282775116,0.0015
248,-0.20000000000000018,0.6000000000000001,0.30000000000000004,75,2,30,-6.555367137496091,-0.6555367137496091,1.0050257564504028,785.9004858139845,144.4,0.21118827744013563,0.001
249,-0.20000000000000018,0.6000000000000001,0.30000000000000004,75,2,60,-6.555367137496091,-0.6555367137496091,1.0050257564504028,785.9004858139845,142.7,0.21118827744013563,0.001
250,-0.20000000000000018,0.6000000000000001,0.30000000000000004,75,6,30,-1.051166542817009,-0.10511665428170094,1.0033837074788479,614.9517122012678,53.0,0.27222769203911695,0.002
254,-0.20000000000000018,0.8,0.1,50,2,60,-24.69376145797296,-2.4693761457972956,1.0235334752741108,877.6634461503642,124.8,0.09859912915773128,0.002
255,-0.20000000000000018,0.8,0.1,75,2,60,-9.975731826995604,-0.9975731826995606,1.0075718948565582,845.933909006057,126.7,0.15516029030773373,0.002
256,-0.20000000000000018,0.8,0.1,75,6,60,-30.720721589128924,-3.072072158912892,1.0448291364239357,578.2342485307865,46.9,0.21665865007438753,0.002
257,-0.20000000000000018,0.8,0.2,25,2,30,-13.263324071146371,-1.3263324071146374,1.0107298558678626,871.6632874802572,148.2,0.11462616267140832,0.001
258,-0.20000000000000018,0.8,0.2,25,2,60,-13.263324071146371,-1.3263324071146374,1.0107298558678626,871.6632874802572,146.8,0.11462616267140832,0.002
259,-0.20000000000000018,0.8,0.2,25,6,60,-7.336834750424316,-0.7336834750424317,1.0114228143252255,502.0165964169928,52.9,0.28169354997962953,0.002
260,-0.20000000000000018,0.8,0.30000000000000004,25,2,30,-8.372523405960544,-0.8372523405960546,1.005828892645566,866.4940071002353,161.6,0.13622684555056805,0.002
261,-0.20000000000000018,0.8,0.30000000000000004,25,2,60,-8.372523405960544,-0.8372523405960546,1.005828892645566,866.4940071002353,160.1,0.13622684555056805,0.002
262,-0.20000000000000018,0.8,0.30000000000000004,25,6,60,-4.084120613700032,-0.4084120613700034,1.0070878452485201,510.48543019461306,55.0,0.2623989391813501,0.001
263,-0.20000000000000018,0.8,0.30000000000000004,50,2,30,-9.467192343760269,-0.9467192343760269,1.0078857442902573,815.0024485536065,144.7,0.17989461894653397,0.002
264,-0.20000000000000018,0.8,0.30000000000000004,50,2,60,-9.467192343760269,-0.9467192343760269,1.0078857442902573,815.0024485536065,143.1,0.17989461894653397,0.001
266,-0.20000000000000018,0.8,0.30000000000000004,75,2,30,-6.263614479733315,-0.6263614479733315,1.0046798717549472,785.901386653583,144.0,0.2114252756326794,0.001
267,-0.20000000000000018,0.8,0.30000000000000004,75,2,60,-6.263614479733315,-0.6263614479733315,1.0046798717549472,785.901386653583,142.3,0.2114252756326794,0.002
